,id,name,identifiers,neutral_formula,charge,charged_formula,neutral_mono_mass,SMILES,inchi
11,asp__L,L-Aspartate,"[['BIGG', 'asp-L[c]'], ['BIGG', 'asp_DASH_L_c'], ['BIGG', 'asp_L[c]'], ['BIGG', 'asp_L_c'], ['BIGG', 'asp__L'], ['BIGG', 'asp__L_c'], ['Reactome', 'R-ALL-113553'], ['Reactome', 'R-ALL-29448'], ['KEGG', 'C00049'], ['KEGG', 'C16433'], ['CHEBI', '13085'], ['CHEBI', '132943'], ['CHEBI', '17053'], ['CHEBI', '21244'], ['CHEBI', '21247'], ['CHEBI', '22659'], ['CHEBI', '22660'], ['CHEBI', '29991'], ['CHEBI', '29992'], ['CHEBI', '29993'], ['CHEBI', '29995'], ['CHEBI', '35391'], ['CHEBI', '40853'], ['CHEBI', '40900'], ['CHEBI', '40913'], ['CHEBI', '40942'], ['CHEBI', '6193'], ['inchikey', 'CKLJMWTZIZZHCS-REOHCLBHSA-M'], ['KEGG_Drug', 'D00013'], ['HMDB', 'HMDB00191'], ['HMDB', 'HMDB62186'], ['HMDB', 'HMDB62501'], ['BioCyc', 'L-ASPARTATE'], ['MetaNetX', 'MNXM42'], ['SEED', 'cpd00041'], ['SEED', 'cpd19181']]",,-1,C4H6NO4,0.0,,
12,atp,ATP C10H12N5O13P3,"[['BIGG', 'atp'], ['BIGG', 'atp[c]'], ['BIGG', 'atp_c'], ['Reactome', 'R-ALL-113592'], ['Reactome', 'R-ALL-113593'], ['Reactome', 'R-ALL-211579'], ['Reactome', 'R-ALL-29358'], ['Reactome', 'R-ALL-389573'], ['Reactome', 'R-ALL-5632460'], ['Reactome', 'R-ALL-5696069'], ['Reactome', 'R-ALL-6798184'], ['Reactome', 'R-ALL-8869363'], ['Reactome', 'R-ALL-8878982'], ['Reactome', 'R-ALL-8938081'], ['KEGG', 'C00002'], ['CHEBI', '10789'], ['CHEBI', '10841'], ['CHEBI', '13236'], ['CHEBI', '15422'], ['CHEBI', '22249'], ['CHEBI', '2359'], ['CHEBI', '237958'], ['CHEBI', '30616'], ['CHEBI', '40938'], ['CHEBI', '57299'], ['KEGG_Drug', 'D08646'], ['HMDB', 'HMDB00538'], ['BioCyc', 'ATP'], ['MetaNetX', 'MNXM3'], ['inchikey', 'ZKHQWZAMYRWXGA-KQYNXXCUSA-J'], ['SEED', 'cpd00002']]",,-4,C10H12N5O13P3,0.0,,
13,bmocogdp,Bis-molybdopterin guanine dinucleotide,"[['BIGG', 'bmocogdp'], ['BIGG', 'bmocogdp_c'], ['MetaNetX', 'MNXM147054']]",,0,,0.0,,
14,btn,Biotin,"[['BIGG', 'btn'], ['BIGG', 'btn[c]'], ['BIGG', 'btn_c'], ['Reactome', 'R-ALL-199207'], ['Reactome', 'R-ALL-199238'], ['Reactome', 'R-ALL-29582'], ['KEGG', 'C00120'], ['CHEBI', '13905'], ['CHEBI', '15956'], ['CHEBI', '22882'], ['CHEBI', '22884'], ['CHEBI', '3108'], ['CHEBI', '41236'], ['CHEBI', '57586'], ['KEGG_Drug', 'D00029'], ['HMDB', 'HMDB00030'], ['BioCyc', 'BIOTIN'], ['MetaNetX', 'MNXM304'], ['inchikey', 'YBJHBAHKTGYVGT-ZKWXMUAHSA-M'], ['SEED', 'cpd00104']]",,-1,C10H15N2O3S,0.0,,
15,ca2,Calcium,"[['BIGG', 'ca2'], ['BIGG', 'ca2[c]'], ['BIGG', 'ca2_c'], ['Reactome', 'R-ALL-111875'], ['Reactome', 'R-ALL-139827'], ['Reactome', 'R-ALL-1606834'], ['Reactome', 'R-ALL-167012'], ['Reactome', 'R-ALL-2855229'], ['Reactome', 'R-ALL-74016'], ['Reactome', 'R-ALL-74112'], ['inchikey', 'BHPQYMZQTOCNFJ-UHFFFAOYSA-N'], ['KEGG', 'C00076'], ['CHEBI', '22988'], ['CHEBI', '29108'], ['CHEBI', '3308'], ['CHEBI', '39123'], ['CHEBI', '48760'], ['HMDB', 'HMDB00464'], ['BioCyc', 'CA+2'], ['MetaNetX', 'MNXM128'], ['SEED', 'cpd00063'], ['SEED', 'cpd29674']]",,2,Ca,0.0,,
16,cl,Chloride,"[['BIGG', 'cl'], ['BIGG', 'cl[c]'], ['BIGG', 'cl_c'], ['Reactome', 'R-ALL-188972'], ['Reactome', 'R-ALL-2730999'], ['Reactome', 'R-ALL-2731008'], ['Reactome', 'R-ALL-2731020'], ['Reactome', 'R-ALL-29572'], ['Reactome', 'R-ALL-3301973'], ['Reactome', 'R-ALL-352022'], ['KEGG', 'C00698'], ['KEGG', 'C01327'], ['CHEBI', '13291'], ['CHEBI', '13364'], ['CHEBI', '13970'], ['CHEBI', '17883'], ['CHEBI', '17996'], ['CHEBI', '24635'], ['CHEBI', '3616'], ['CHEBI', '3731'], ['CHEBI', '48804'], ['CHEBI', '50315'], ['CHEBI', '5590'], ['KEGG_Drug', 'D02057'], ['HMDB', 'HMDB00492'], ['HMDB', 'HMDB02073'], ['HMDB', 'HMDB02162'], ['HMDB', 'HMDB02306'], ['BioCyc', 'CL-'], ['BioCyc', 'HCL'], ['MetaNetX', 'MNXM43'], ['inchikey', 'VEXZGXHMUGYJMC-UHFFFAOYSA-M'], ['SEED', 'cpd00099']]",,-1,Cl,0.0,,
17,coa,Coenzyme A,"[['BIGG', 'coa'], ['BIGG', 'coa[c]'], ['BIGG', 'coa_c'], ['Reactome', 'R-ALL-162743'], ['Reactome', 'R-ALL-1678675'], ['Reactome', 'R-ALL-193514'], ['Reactome', 'R-ALL-2485002'], ['Reactome', 'R-ALL-29374'], ['Reactome', 'R-ALL-76194'], ['Reactome', 'R-ALL-8939024'], ['KEGG', 'C00010'], ['CHEBI', '13294'], ['CHEBI', '13295'], ['CHEBI', '13298'], ['CHEBI', '15346'], ['CHEBI', '23355'], ['CHEBI', '3771'], ['CHEBI', '41597'], ['CHEBI', '41631'], ['CHEBI', '57287'], ['CHEBI', '741566'], ['HMDB', 'HMDB01423'], ['HMDB', 'HMDB62184'], ['BioCyc', 'CO-A'], ['BioCyc', 'COA-GROUP'], ['MetaNetX', 'MNXM12'], ['inchikey', 'RGJOEKWQDUBAIZ-IBOSZNHHSA-J'], ['SEED', 'cpd00010'], ['SEED', 'cpd22528']]",,-4,C21H32N7O16P3S,0.0,,
18,cobalt2,Co2+,"[['BIGG', 'cobalt2'], ['BIGG', 'cobalt2[c]'], ['BIGG', 'cobalt2_c'], ['KEGG', 'C00175'], ['CHEBI', '23337'], ['CHEBI', '48827'], ['CHEBI', '48828'], ['HMDB', 'HMDB00608'], ['BioCyc', 'CO+2'], ['MetaNetX', 'MNXM90960'], ['inchikey', 'XLJKHNWPARRRJB-UHFFFAOYSA-N'], ['SEED', 'cpd00149']]",,2,Co,0.0,,
19,ctp,CTP C9H12N3O14P3,"[['BIGG', 'ctp'], ['BIGG', 'ctp[c]'], ['BIGG', 'ctp_c'], ['Reactome', 'R-ALL-110577'], ['Reactome', 'R-ALL-110614'], ['Reactome', 'R-ALL-29470'], ['KEGG', 'C00063'], ['CHEBI', '13286'], ['CHEBI', '17677'], ['CHEBI', '23522'], ['CHEBI', '3285'], ['CHEBI', '37563'], ['CHEBI', '41675'], ['CHEBI', '58231'], ['HMDB', 'HMDB00082'], ['BioCyc', 'CTP'], ['MetaNetX', 'MNXM63'], ['inchikey', 'PCDQPRRSZKQHHS-XVFCMESISA-J'], ['SEED', 'cpd00052']]",,-4,C9H12N3O14P3,0.0,,
20,cu2,Copper,"[['BIGG', 'cu2'], ['BIGG', 'cu2[c]'], ['BIGG', 'cu2_c'], ['Reactome', 'R-ALL-209799'], ['Reactome', 'R-ALL-437295'], ['Reactome', 'R-ALL-936901'], ['KEGG', 'C00070'], ['CHEBI', '20882'], ['CHEBI', '23380'], ['CHEBI', '29036'], ['CHEBI', '49550'], ['HMDB', 'HMDB00657'], ['inchikey', 'JPVYNHNXODAKFH-UHFFFAOYSA-N'], ['BioCyc', 'CU+2'], ['MetaNetX', 'MNXM632'], ['SEED', 'cpd00058']]",,2,Cu,0.0,,
21,cys__L,L-Cysteine,"[['BIGG', 'cys-L[c]'], ['BIGG', 'cys_DASH_L_c'], ['BIGG', 'cys_L[c]'], ['BIGG', 'cys_L_c'], ['BIGG', 'cys__L'], ['BIGG', 'cys__L_c'], ['Reactome', 'R-ALL-111707'], ['Reactome', 'R-ALL-352016'], ['Reactome', 'R-ALL-379721'], ['Reactome', 'R-ALL-5668576'], ['KEGG', 'C00097'], ['KEGG', 'C00736'], ['CHEBI', '13095'], ['CHEBI', '14061'], ['CHEBI', '15356'], ['CHEBI', '17561'], ['CHEBI', '21261'], ['CHEBI', '23508'], ['CHEBI', '32442'], ['CHEBI', '32443'], ['CHEBI', '32445'], ['CHEBI', '32456'], ['CHEBI', '32457'], ['CHEBI', '32458'], ['CHEBI', '35235'], ['CHEBI', '35237'], ['CHEBI', '4050'], ['CHEBI', '41227'], ['CHEBI', '41700'], ['CHEBI', '41768'], ['CHEBI', '41781'], ['CHEBI', '41811'], ['CHEBI', '6207'], ['KEGG_Drug', 'D00026'], ['HMDB', 'HMDB00574'], ['BioCyc', 'CYS'], ['MetaNetX', 'MNXM55'], ['inchikey', 'XUJNEKJLAYXESH-REOHCLBHSA-N'], ['SEED', 'cpd00084'], ['SEED', 'cpd00547']]",,0,C3H7NO2S,0.0,,
22,datp,DATP C10H12N5O12P3,"[['BIGG', 'datp'], ['BIGG', 'datp[c]'], ['BIGG', 'datp_c'], ['Reactome', 'R-ALL-110644'], ['KEGG', 'C00131'], ['CHEBI', '10491'], ['CHEBI', '14069'], ['CHEBI', '16284'], ['CHEBI', '19238'], ['CHEBI', '42290'], ['CHEBI', '495505'], ['CHEBI', '61404'], ['HMDB', 'HMDB01532'], ['BioCyc', 'DATP'], ['MetaNetX', 'MNXM286'], ['inchikey', 'SUYVUBYJARFZHO-RRKCRQDMSA-J'], ['SEED', 'cpd00115']]",,-4,C10H12N5O12P3,0.0,,
23,dctp,DCTP C9H12N3O13P3,"[['BIGG', 'dctp'], ['BIGG', 'dctp[c]'], ['BIGG', 'dctp_c'], ['KEGG', 'C00458'], ['CHEBI', '10494'], ['CHEBI', '14072'], ['CHEBI', '16311'], ['CHEBI', '19243'], ['CHEBI', '57724'], ['CHEBI', '61481'], ['HMDB', 'HMDB00998'], ['BioCyc', 'DCTP'], ['MetaNetX', 'MNXM360'], ['inchikey', 'RGWHQCVHVJXOKC-SHYZEUOFSA-J'], ['SEED', 'cpd00356']]",,-4,C9H12N3O13P3,0.0,,
24,dgtp,DGTP C10H12N5O13P3,"[['BIGG', 'dgtp'], ['BIGG', 'dgtp[c]'], ['BIGG', 'dgtp_c'], ['KEGG', 'C00286'], ['CHEBI', '10497'], ['CHEBI', '14076'], ['CHEBI', '16497'], ['CHEBI', '19247'], ['CHEBI', '57794'], ['CHEBI', '61429'], ['inchikey', 'HAAZLUGHYHWQIW-KVQBGUIXSA-J'], ['HMDB', 'HMDB01440'], ['BioCyc', 'DGTP'], ['MetaNetX', 'MNXM344'], ['SEED', 'cpd00241']]",,-4,C10H12N5O13P3,0.0,,
25,dttp,DTTP C10H13N2O14P3,"[['BIGG', 'dttp'], ['BIGG', 'dttp[c]'], ['BIGG', 'dttp_c'], ['KEGG', 'C00459'], ['CHEBI', '10530'], ['CHEBI', '14093'], ['CHEBI', '18077'], ['CHEBI', '27000'], ['CHEBI', '37568'], ['CHEBI', '46175'], ['CHEBI', '58370'], ['HMDB', 'HMDB01342'], ['BioCyc', 'TTP'], ['MetaNetX', 'MNXM394'], ['inchikey', 'NHVNXKFIZYSCEB-XLPZGREQSA-J'], ['SEED', 'cpd00357']]",,-4,C10H13N2O14P3,0.0,,
26,fad,Flavin adenine dinucleotide oxidized,"[['BIGG', 'fad'], ['BIGG', 'fad[c]'], ['BIGG', 'fad_c'], ['Reactome', 'R-ALL-113596'], ['Reactome', 'R-ALL-113597'], ['Reactome', 'R-ALL-29386'], ['KEGG', 'C00016'], ['CHEBI', '13315'], ['CHEBI', '16238'], ['CHEBI', '21125'], ['CHEBI', '42388'], ['CHEBI', '4956'], ['CHEBI', '57692'], ['KEGG_Drug', 'D00005'], ['HMDB', 'HMDB01248'], ['inchikey', 'IMGVNJNCCGXBHD-UYBVJOGSSA-K'], ['BioCyc', 'FAD'], ['MetaNetX', 'MNXM33'], ['SEED', 'cpd00015']]",,0,C27H33N9O15P2,0.0,,
27,fe2,Fe2+ mitochondria,"[['BIGG', 'fe2'], ['BIGG', 'fe2[c]'], ['BIGG', 'fe2_c'], ['KEGG', 'C14818'], ['CHEBI', '13319'], ['CHEBI', '13321'], ['CHEBI', '21129'], ['CHEBI', '24876'], ['CHEBI', '29033'], ['CHEBI', '34754'], ['CHEBI', '49599'], ['inchikey', 'CWYNVVGOOAEACU-UHFFFAOYSA-N'], ['HMDB', 'HMDB00692'], ['BioCyc', 'FE+2'], ['MetaNetX', 'MNXM111'], ['SEED', 'cpd10515']]",,2,Fe,0.0,,
28,fe3,Iron (Fe3+),"[['BIGG', 'fe3'], ['BIGG', 'fe3[c]'], ['BIGG', 'fe3_c'], ['Reactome', 'R-ALL-111736'], ['Reactome', 'R-ALL-912516'], ['Reactome', 'R-ALL-912519'], ['Reactome', 'R-ALL-917943'], ['Reactome', 'R-ALL-917966'], ['KEGG', 'C14819'], ['CHEBI', '13320'], ['CHEBI', '21130'], ['CHEBI', '24877'], ['CHEBI', '29034'], ['CHEBI', '34755'], ['CHEBI', '49595'], ['HMDB', 'HMDB12943'], ['BioCyc', 'FE+3'], ['MetaNetX', 'MNXM196'], ['inchikey', 'VTLYFUHAOXGGBS-UHFFFAOYSA-N'], ['SEED', 'cpd10516']]",,3,Fe,0.0,,
29,gln__L,L-Glutamine,"[['BIGG', 'gln-L[c]'], ['BIGG', 'gln_DASH_L_c'], ['BIGG', 'gln_L[c]'], ['BIGG', 'gln_L_c'], ['BIGG', 'gln__L'], ['BIGG', 'gln__L_c'], ['Reactome', 'R-ALL-113522'], ['Reactome', 'R-ALL-212615'], ['Reactome', 'R-ALL-29472'], ['KEGG', 'C00064'], ['KEGG', 'C00303'], ['CHEBI', '13110'], ['CHEBI', '18050'], ['CHEBI', '21308'], ['CHEBI', '24316'], ['CHEBI', '28300'], ['CHEBI', '32665'], ['CHEBI', '32666'], ['CHEBI', '32678'], ['CHEBI', '32679'], ['CHEBI', '42812'], ['CHEBI', '42814'], ['CHEBI', '42899'], ['CHEBI', '42943'], ['CHEBI', '5432'], ['CHEBI', '58359'], ['CHEBI', '6227'], ['KEGG_Drug', 'D00015'], ['HMDB', 'HMDB00641'], ['BioCyc', 'GLN'], ['MetaNetX', 'MNXM37'], ['inchikey', 'ZDXPYRJPNDTMRX-VKHMYHEASA-N'], ['SEED', 'cpd00053'], ['SEED', 'cpd00253']]",,0,C5H10N2O3,0.0,,
30,glu__L,L-Glutamate,"[['BIGG', 'glu-L[c]'], ['BIGG', 'glu_DASH_L_c'], ['BIGG', 'glu_L[c]'], ['BIGG', 'glu_L_c'], ['BIGG', 'glu__L'], ['BIGG', 'glu__L_c'], ['Reactome', 'R-ALL-113552'], ['Reactome', 'R-ALL-210382'], ['Reactome', 'R-ALL-29404'], ['Reactome', 'R-ALL-428614'], ['KEGG', 'C00025'], ['KEGG', 'C00302'], ['CHEBI', '13107'], ['CHEBI', '14321'], ['CHEBI', '16015'], ['CHEBI', '18237'], ['CHEBI', '21301'], ['CHEBI', '21304'], ['CHEBI', '24314'], ['CHEBI', '29985'], ['CHEBI', '29987'], ['CHEBI', '29988'], ['CHEBI', '42825'], ['CHEBI', '5431'], ['CHEBI', '6224'], ['CHEBI', '76051'], ['KEGG_Drug', 'D00007'], ['KEGG_Drug', 'D04341'], ['HMDB', 'HMDB00148'], ['HMDB', 'HMDB60475'], ['BioCyc', 'GLT'], ['BioCyc', 'Glutamates'], ['MetaNetX', 'MNXM89557'], ['inchikey', 'WHUUTDBJXJRKMK-VKHMYHEASA-M'], ['SEED', 'cpd00023'], ['SEED', 'cpd19002'], ['SEED', 'cpd27177']]",,-1,C5H8NO4,0.0,,
31,gly,Glycine,"[['BIGG', 'gly'], ['BIGG', 'gly[c]'], ['BIGG', 'gly_c'], ['Reactome', 'R-ALL-113545'], ['Reactome', 'R-ALL-159549'], ['Reactome', 'R-ALL-193446'], ['Reactome', 'R-ALL-266029'], ['Reactome', 'R-ALL-29424'], ['KEGG', 'C00037'], ['CHEBI', '10792'], ['CHEBI', '14344'], ['CHEBI', '15428'], ['CHEBI', '24368'], ['CHEBI', '32507'], ['CHEBI', '32508'], ['CHEBI', '42964'], ['CHEBI', '5460'], ['CHEBI', '57305'], ['KEGG_Drug', 'D00011'], ['inchikey', 'DHMQDGOQFOQNFH-UHFFFAOYSA-N'], ['HMDB', 'HMDB00123'], ['BioCyc', 'GLY'], ['MetaNetX', 'MNXM29'], ['SEED', 'cpd00033']]",,0,C2H5NO2,0.0,,
32,gtp,GTP C10H12N5O14P3,"[['BIGG', 'gtp'], ['BIGG', 'gtp[c]'], ['BIGG', 'gtp_c'], ['Reactome', 'R-ALL-113573'], ['Reactome', 'R-ALL-29438'], ['KEGG', 'C00044'], ['CHEBI', '13342'], ['CHEBI', '15996'], ['CHEBI', '24451'], ['CHEBI', '37565'], ['CHEBI', '42934'], ['CHEBI', '5234'], ['CHEBI', '57600'], ['HMDB', 'HMDB01273'], ['BioCyc', 'GTP'], ['MetaNetX', 'MNXM51'], ['inchikey', 'XKMLYUALXHKNFT-UUOKFMHZSA-J'], ['SEED', 'cpd00038']]",,-4,C10H12N5O14P3,0.0,,
33,h2o,H2O H2O,"[['BIGG', 'h2o'], ['BIGG', 'h2o[c]'], ['BIGG', 'h2o_c'], ['Reactome', 'R-ALL-109276'], ['Reactome', 'R-ALL-113518'], ['Reactome', 'R-ALL-113519'], ['Reactome', 'R-ALL-113521'], ['Reactome', 'R-ALL-141343'], ['Reactome', 'R-ALL-1605715'], ['Reactome', 'R-ALL-189422'], ['Reactome', 'R-ALL-2022884'], ['Reactome', 'R-ALL-29356'], ['Reactome', 'R-ALL-351603'], ['Reactome', 'R-ALL-5278291'], ['Reactome', 'R-ALL-5668574'], ['Reactome', 'R-ALL-5693747'], ['Reactome', 'R-ALL-8851517'], ['KEGG', 'C00001'], ['KEGG', 'C01328'], ['CHEBI', '10743'], ['CHEBI', '13352'], ['CHEBI', '13365'], ['CHEBI', '13419'], ['CHEBI', '15377'], ['CHEBI', '16234'], ['CHEBI', '27313'], ['CHEBI', '29356'], ['CHEBI', '29412'], ['CHEBI', '30490'], ['CHEBI', '33813'], ['CHEBI', '42043'], ['CHEBI', '42857'], ['CHEBI', '43228'], ['CHEBI', '44292'], ['CHEBI', '44641'], ['CHEBI', '44701'], ['CHEBI', '44819'], ['CHEBI', '5585'], ['CHEBI', '5594'], ['KEGG_Drug', 'D00001'], ['KEGG_Drug', 'D06322'], ['HMDB', 'HMDB01039'], ['HMDB', 'HMDB02111'], ['BioCyc', 'CPD-15815'], ['BioCyc', 'HYDROXYL-GROUP'], ['BioCyc', 'OH'], ['BioCyc', 'OXONIUM'], ['BioCyc', 'WATER'], ['MetaNetX', 'MNXM2'], ['inchikey', 'XLYOFNOQVPJJNP-UHFFFAOYSA-N'], ['SEED', 'cpd00001'], ['SEED', 'cpd15275'], ['SEED', 'cpd27222']]",,0,H2O,0.0,,
